NAME,POS,TEAM,GP,MPG,Z_PTS,Z_REB,Z_AST,Z_STL,Z_BLK,Z_X3PM,Z_FG.,Z_FT.,Z_TO,Z_AVG
Gorgui Dieng,PF/C,MIN,76,22,-0.799,-0.488,-0.082,0.176,-0.126,-0.587,-0.301,0.963,0.247,-0.111
Skal Labissiere,PF/C,SAC,65,24,0.323,-0.186,-0.082,-0.176,-0.843,-0.141,0.181,0.206,-0.337,-0.117
Frank Kaminsky,PF/C,CHA,75,24.5,-0.153,-0.942,0.419,-0.176,-0.843,1.197,-1.907,0.585,0.685,-0.126
Guillermo Hernangomez,C,NYK,72,20,-0.248,0.23,0.319,-0.176,-0.843,-0.587,0.181,0.206,-0.337,-0.139
Alex Len,PF/C,PHO,76,25,-0.248,0.457,-0.383,-0.176,0.77,-0.736,-0.782,0.112,-0.629,-0.18
Zach Randolph,PF/C,SAC,70,24,0.323,0.23,0.118,-0.176,-1.56,-0.29,-0.943,0.49,0.101,-0.19
Robin Lopez,C,CHI,79,28,-0.21,-0.072,-0.283,-1.586,0.77,-0.736,-0.14,0.301,0.101,-0.206
Tristan Thompson,PF/C,CLE,79,28.5,-0.59,0.722,-0.684,-0.529,-0.306,-0.736,0.824,-1.307,0.685,-0.213
Taj Gibson,PF/C,MIN,75,26,-0.286,-0.261,-0.283,-0.176,-0.126,-0.736,-0.301,-0.078,0.247,-0.222
Amir Johnson,PF/C,PHI,70,18,-0.989,-0.942,0.118,-0.529,-0.664,-0.438,0.984,-0.456,0.539,-0.264
Ian Mahinmi,C,WAS,62,22,-0.856,-0.299,-0.484,0.881,-0.126,-0.736,0.663,-1.78,0.247,-0.277
Brandan Wright,PF/C,MEM,60,15,-1.065,-1.547,-0.985,-0.881,-0.485,-0.736,1.787,-0.267,1.561,-0.291
Zach Collins,PF/C,POR,72,18,-0.742,-0.715,-1.086,-0.529,0.232,-0.438,0.342,0.206,0.101,-0.292
Boban Marjanovic,C,DET,62,12,-0.78,-0.866,-0.985,-1.234,-0.843,-0.736,1.145,0.585,0.977,-0.304
Nene Hilario,PF/C,HOU,64,18,-0.476,-1.018,-0.183,0.529,-0.843,-0.736,0.824,-1.118,0.247,-0.308
Joffrey Lauvergne,PF/C,SAS,62,20,-0.495,-0.753,-0.082,-0.881,-1.381,0.602,-0.782,0.585,0.393,-0.311
Dwight Powell,PF/C,DAL,74,15,-0.951,-1.169,-0.885,-0.176,-1.023,-0.438,-0.14,0.395,1.415,-0.33
