NAME,POS,TEAM,GP,MPG,Z_PTS,Z_REB,Z_AST,Z_STL,Z_BLK,Z_X3PM,Z_FG.,Z_FT.,Z_TO,Z_AVG
John Collins,PF,ATL,72,22,-0.262,0.193,-0.987,-0.791,0.076,-1.114,0.537,-0.008,0.102,-0.251
Ersan Ilyasova,SF/PF,ATL,75,23,-0.204,-0.473,-0.444,-0.495,-0.945,0.924,-1.123,0.103,0.38,-0.253
Brandan Wright,PF/C,MEM,60,15,-1.118,-1.567,-0.987,-1.087,-0.129,-1.114,2.75,-0.563,1.493,-0.258
Amir Johnson,PF/C,PHI,70,18,-1.042,-0.806,-0.134,-0.791,-0.333,-0.843,1.828,-0.786,0.519,-0.265
Luol Deng,SF/PF,LAL,62,24,-0.68,-0.711,-0.444,0.098,-0.945,0.109,-1.123,0.214,0.797,-0.298
John Henson,PF/C,MIL,62,18,-0.928,-0.711,-0.677,-1.087,1.504,-1.114,0.906,-1.119,0.519,-0.301
Cheick Diallo,PF,NOR,70,18,-0.528,0.145,-0.987,-1.087,-0.333,-1.114,-0.017,0.103,1.075,-0.305
Bismack Biyombo,PF/C,ORL,78,20,-1.156,0.335,-0.832,-1.383,1.3,-1.114,1.274,-1.897,0.658,-0.313
Joffrey Lauvergne,PF/C,SAS,62,20,-0.547,-0.568,-0.289,-1.087,-1.149,0.109,-0.201,0.437,0.38,-0.324
Sam Dekker,SF/PF,LAC,77,24,-0.433,-0.664,-0.289,-0.495,-0.741,0.245,-0.201,-1.341,0.936,-0.331
Dwight Powell,PF/C,DAL,74,15,-1.004,-1.092,-0.909,-0.495,-0.741,-0.843,0.537,0.214,1.354,-0.331
Nene Hilario,PF/C,HOU,64,18,-0.528,-0.901,-0.367,0.098,-0.537,-1.114,1.643,-1.564,0.241,-0.337
Kyle O'Quinn,PF/C,NYK,69,12,-1.251,-0.997,-0.522,-1.087,0.076,-0.979,0.352,0.437,0.797,-0.353
Bobby Portis,PF/C,CHI,64,20,-0.49,0.05,-0.677,-1.087,-0.945,-0.299,-0.201,-0.23,0.658,-0.358
Trevor Booker,PF,BKN,72,18,-0.909,-0.283,-0.444,-0.198,-0.741,-0.571,-0.017,-0.675,0.38,-0.384
Ed Davis,PF/C,POR,68,18,-1.137,0.098,-0.677,-0.791,-0.333,-1.114,1.459,-1.897,0.936,-0.384
Richaun Holmes,PF/C,PHI,70,12,-1.08,-1.567,-0.909,-1.087,-0.333,-0.163,1.09,-0.563,1.075,-0.393
Paul Zipser,SF/PF,CHI,70,24,-0.776,-1.139,-0.522,-0.791,-0.333,0.245,-1.492,0.659,0.38,-0.419
Kenneth Faried,PF/C,DEN,66,14.7,-0.89,-0.473,-0.832,-1.087,-0.741,-1.114,1.09,-0.675,0.936,-0.421
