NAME,POS,TEAM,GP,MPG,Z_PTS,Z_REB,Z_AST,Z_STL,Z_BLK,Z_X3PM,Z_FG.,Z_FT.,Z_TO,Z_AVG
Kyle Anderson,SG/SF,SAS,70,20,-1.332,-0.377,-0.285,0.113,0.153,-1.624,0.056,0.067,0.996,-0.248
Jeremy Lamb,SG/SF,CHA,62,18,-0.555,-0.576,-0.843,-1.438,-0.186,-0.511,0.056,0.61,1.164,-0.253
Chandler Parsons,SF/PF,MEM,50,24,-0.412,-0.775,-0.285,-1.128,-0.863,0.284,0.663,-0.476,0.661,-0.259
Tony Snell,SG/SF,MIL,75,29,-0.677,-0.709,-0.764,-1.128,-0.863,0.602,-0.552,0.882,0.829,-0.264
Glenn Robinson III,SG/SF,IND,68,24.5,-0.677,-0.576,-1.003,-0.507,-0.186,-0.67,0.663,-0.612,1.164,-0.267
Evan Turner,SG/SF,POR,74,26,-0.534,-0.311,1.151,-0.507,-0.524,-1.465,-0.248,0.61,-0.679,-0.279
Ersan Ilyasova,SF/PF,ATL,75,23,-0.309,0.351,-0.843,-1.128,-0.524,0.284,-0.552,-0.34,0.494,-0.285
Dion Waiters,SG/SF,MIA,74,30,0.202,-1.106,0.673,0.113,-0.524,0.284,-0.856,-1.019,-0.512,-0.305
Manu Ginobili,SG/SF,SAS,67,20,-0.759,-1.371,0.513,0.734,-0.863,-0.193,-0.856,0.339,-0.344,-0.311
Jayson Tatum,SF,BOS,70,24,-0.575,-0.046,-0.604,-0.507,0.491,-1.147,-0.552,0.474,-0.344,-0.312
Thabo Sefolosha,SG/SF,UTA,70,22,-1.291,-0.51,-0.684,0.424,-0.186,-1.306,0.663,-1.019,0.996,-0.323
Sam Dekker,SF/PF,LAC,77,24,-0.555,0.086,-0.684,-1.128,-0.186,-0.511,0.967,-2.105,1.164,-0.328
Luol Deng,SF/PF,LAL,62,24,-0.821,0.02,-0.843,-0.507,-0.524,-0.67,-0.552,-0.204,0.996,-0.345
Josh Jackson,SG/SF,PHO,72,25,-0.412,0.351,0.034,0.113,0.491,-1.306,0.359,-2.105,-0.679,-0.35
Bojan Bogdanovic,SG/SF,IND,76,24,-0.125,-1.04,-0.843,-1.748,-1.201,0.443,0.056,1.153,0.159,-0.35
Brandon Ingram,SG/SF,LAL,78,30,-0.228,-0.113,0.114,-0.817,0.491,-0.67,-0.552,-1.562,-0.177,-0.39
Justin Holiday,SG/SF,CHI,72,20,-1.005,-1.371,-0.764,-0.197,-0.186,-0.352,-0.856,0.067,0.996,-0.407
Stanley Johnson,SG/SF,DET,78,25,-0.636,-0.377,-0.205,-0.197,-0.186,-0.352,-1.16,-0.34,-0.344,-0.422
Jamal Crawford,SG/SF,MIN,73,24,-0.248,-2.033,-0.045,-0.817,-1.201,0.125,-1.16,1.425,0.159,-0.422
Kelly Oubre,SF,WAS,77,25,-0.718,0.02,-1.242,-0.507,-0.524,-0.67,-0.248,-0.747,0.829,-0.423
Jerami Grant,SF/PF,OKC,78,20,-1.025,-1.04,-0.843,-1.438,2.522,-1.147,-0.248,-1.426,0.829,-0.424
Denzel Valentine,SG/SF,CHI,70,26,-0.841,-0.245,-0.444,-0.817,-0.524,0.761,-2.376,0.474,0.159,-0.428
Lance Stephenson,SG/SF,IND,70,24.5,-0.534,-0.377,0.752,-0.817,-0.863,-1.147,0.056,-0.612,-0.512,-0.45
Paul Zipser,SF/PF,CHI,70,24,-0.923,-0.576,-0.923,-1.438,0.491,-0.511,-1.16,0.339,0.494,-0.468
Michael Beasley,SF/PF,NYK,67,15,-0.677,-0.841,-1.162,-1.748,-0.186,-1.465,1.575,-0.204,0.494,-0.468
Marco Belinelli,SG/SF,ATL,68,23,-0.596,-1.636,-0.365,-1.438,-1.201,-0.034,-1.16,1.425,0.661,-0.483
Joe Johnson,SG/SF,UTA,77,23,-0.8,-1.238,-0.045,-1.748,-1.201,-0.352,-0.248,0.61,0.494,-0.503
Jonathon Simmons,SG/SF,ORL,72,20,-0.923,-1.371,-0.444,-1.128,-0.524,-1.306,0.056,-0.204,0.494,-0.595
Jared Dudley,SF/PF,PHO,70,18,-1.373,-1.238,-0.684,-1.128,-0.863,-0.829,0.359,-0.883,0.996,-0.627
J.R. Smith,SG/SF,CLE,70,25,-0.902,-1.238,-0.604,-0.197,-0.863,0.761,-2.376,-1.969,1.164,-0.692
Vince Carter,SG/SF,SAC,70,16.2,-1.352,-1.503,-1.003,-1.438,-0.524,-0.511,-1.768,0.067,1.666,-0.707
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
