Player.Name,Position,Team,GP,MIN,Z_PTS,Z_REB,Z_AST,Z_BLK,Z_STL,Z_FGP,Z_FTP,Z_X3PM,Z_TO,Z_AVG,Tier
Luol Deng,SFPF,LAL,78,28.2,0.424,-0.2,0.368,-0.805,0.524,-0.636,0.476,0.951,0.076,0.131,6
DeMarre Carroll,SFPF,TOR,75,31.8,0.279,-0.321,-0.353,-1.012,1.817,-0.948,-0.504,1.706,0.227,0.099,6
Thaddeus Young,SFPF,IND,80,31.8,0.188,0.485,0.048,-0.598,1.559,0.418,-0.617,-0.56,-0.224,0.078,6
Jabari Parker,SFPF,MIL,78,32.2,0.789,-0.079,0.208,-0.598,0.783,0.242,0.394,-0.711,-0.524,0.056,6
Joakim Noah,PFC,NYK,70,31,-0.632,1.856,2.211,1.058,0.266,-1.007,-1.454,-0.863,-1.124,0.035,6
Marcus Morris,SFPF,DET,82,34.2,0.443,-0.442,0.608,-0.805,0.266,-0.87,0.057,1.102,-0.524,-0.018,6
Jared Sullinger,PFC,TOR,77,22.6,-0.286,0.485,0.048,-0.184,0.266,-0.968,-0.433,-0.107,0.377,-0.089,6
Justise Winslow,SFPF,MIA,81,30.1,-0.268,-0.039,0.208,-0.805,0.524,-1.182,-0.218,-0.107,-0.524,-0.268,6
Nikola Mirotic,SFPF,CHI,78,26.1,0.26,-0.24,-0.113,-0.184,0.266,-1.3,0.833,2.16,-0.374,0.146,7
Taj Gibson,PFC,CHI,76,27.1,-0.341,0.324,-0.273,0.851,-0.251,0.847,-0.218,-0.863,0.227,0.034,7
Amir Johnson,PFC,BOS,80,22.6,-0.651,0.122,0.128,0.644,0.007,1.94,-1.27,-0.711,0.076,0.032,7
Zach Randolph,PFC,MEM,76,28.6,0.588,0.767,0.208,-1.012,-0.251,-0.187,0.639,-0.711,-0.224,-0.02,7
Mason Plumlee,PFC,POR,81,26.9,-0.377,0.485,0.608,0.437,0.007,0.828,-1.066,-0.863,-0.674,-0.068,7
Bismack Biyombo,PFC,ORL,79,24.2,-0.705,0.566,-0.994,1.472,-1.285,1.452,-1.148,-0.863,0.527,-0.109,7
Julius Randle,PF,LAL,80,32.4,0.224,1.695,0.208,-0.598,-0.251,-0.929,-0.198,-0.711,-0.824,-0.154,7
John Henson,PFC,MIL,82,0,-0.796,-0.926,-0.593,1.679,-1.027,1.882,-1.413,-0.863,0.377,-0.187,7
Ben Simmons,SFPF,PHI,32,31.2,0.916,0.364,2.932,0.023,1.3,-0.441,-0.525,-0.258,-2.024,0.254,NA
Cody Zeller,PFC,CHA,78,25.8,-0.323,0.243,-0.353,0.437,0.266,0.574,0.486,-0.863,0.377,0.094,NA
Tristan Thompson,PFC,CLE,81,31.2,-0.195,1.574,-0.673,0.023,-0.51,1.472,-1.035,-0.863,0.527,0.036,NA
Al-Farouq Aminu,SFPF,POR,81,27.1,-0.159,-0.039,-0.113,-0.184,0.524,-1.28,0.302,1.253,-0.074,0.026,NA
Willie Cauley-Stein,PFC,SAC,77,24.2,-0.487,-0.079,-0.834,0.437,0.266,1.511,-0.678,-0.863,0.827,0.011,NA
Brandan Wright,PFC,MEM,72,0,-0.705,-0.885,-0.914,0.851,-0.51,3.111,-1.076,-0.863,0.977,-0.001,NA
Al Jefferson,PFC,IND,68,24.3,0.078,0.082,-0.193,0.437,-0.251,0.184,-0.566,-0.863,0.827,-0.029,NA
Kenneth Faried,PFC,DEN,79,26.4,0.096,0.808,-0.433,0.23,-0.51,1.14,-0.76,-0.863,-0.074,-0.04,NA
Ersan Ilyasova,SFPF,OKC,75,25.5,0.005,0.002,-0.673,-0.598,-0.251,-0.89,0.129,0.8,0.827,-0.072,NA
