Player.Name,Position,Team,GP,MIN,Z_PTS,Z_REB,Z_AST,Z_BLK,Z_STL,Z_FGP,Z_FTP,Z_X3PM,Z_TO,Z_AVG,Tier
Kelly Olynyk,C,BOS,75,22.5,0.038,-0.715,0.289,-0.62,0.804,-0.939,0.332,2.001,-0.026,0.129,NA
Andrew Bogut,C,DAL,68,28.5,-0.152,0.498,1.537,1.171,-0.084,1.029,-1.741,-0.548,-0.683,0.114,NA
Cody Zeller,PFC,CHA,78,25.8,-0.305,-0.108,-0.23,-0.131,0.508,-0.041,0.591,-0.548,0.466,0.022,NA
Cole Aldrich,C,MIN,82,0,-0.857,-0.608,-0.542,0.031,0.508,1.219,0.457,-0.548,0.466,0.014,NA
Joel Embiid,C,PHI,53,25.9,0.153,0.284,0.082,0.845,0.508,-0.248,-0.526,-0.336,-0.683,0.009,NA
Tristan Thompson,PFC,CLE,81,31.2,-0.171,1.069,-0.646,-0.457,-0.38,0.753,-0.74,-0.548,0.631,-0.054,NA
Willie Cauley-Stein,PFC,SAC,77,24.2,-0.476,-0.394,-0.854,-0.131,0.508,0.788,-0.428,-0.548,0.959,-0.064,NA
Patrick Patterson,PFC,TOR,77,26.1,-0.762,-0.965,-0.23,-0.945,-0.084,-1.543,1.136,1.789,0.959,-0.072,NA
Al Jefferson,PFC,IND,68,24.3,0.115,-0.251,-0.022,-0.131,-0.084,-0.387,-0.329,-0.548,0.959,-0.075,NA
Brandan Wright,PFC,MEM,72,0,-0.705,-1.107,-0.958,0.194,-0.38,2.203,-0.776,-0.548,1.123,-0.106,NA
Frank Kaminsky,PFC,CHA,81,24.1,-0.305,-0.679,0.082,-0.62,-0.084,-1.768,0.341,1.364,0.631,-0.115,NA
Channing Frye,PFC,CLE,82,0,-0.8,-1.321,-0.646,-1.108,-0.972,-1.233,1.136,2.426,1.451,-0.118,NA
Kenneth Faried,PFC,DEN,79,26.4,0.134,0.391,-0.334,-0.294,-0.38,0.46,-0.499,-0.548,-0.026,-0.122,NA
Kyle O'Quinn,PFC,NYK,82,0,-0.667,-0.394,0.082,0.194,-0.38,-0.628,0.635,-0.123,-0.026,-0.145,NA
Ian Mahinmi,C,WAS,82,0,-0.629,-0.251,-0.23,-0.294,0.508,1.357,-1.41,-0.548,0.138,-0.151,NA
Meyers Leonard,PFC,POR,82,0,-0.629,-0.822,-0.334,-1.108,-1.563,-0.939,0.966,2.001,0.466,-0.218,NA
